first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Laura,Howard,1989/04/26,2018/04/15,76,1976,NJ,softball,"Smith, Torres and Matthews"
Samantha,Jackson,1986/11/05,2018/04/23,47,1978,WA,softball,Bruce Inc
Christopher,Navarro,1997/07/10,2018/01/29,43,1985,OH,softball,Rivera Ltd
Laura,Hawkins,1995/11/15,2018/08/23,40,1976,PA,softball,Peterson and Sons
Sabrina,Fields,1987/02/04,2018/09/18,37,1983,NJ,softball,Scott and Sons
Brian,Oliver,1992/03/21,2019/01/07,68,1991,ME,softball,Mcdonald Inc
Ashley,Green,1996/12/20,2018/11/04,73,1992,IN,softball,"Mullen, Huffman and Vasquez"
Erica,Rose,1986/04/22,2018/12/27,59,1983,SC,softball,Rivera Ltd
Michael,Pena,1994/08/16,2018/07/31,54,1976,ND,softball,Rivera-Morrow
Robin,Thomas,1988/01/13,2018/08/20,45,1972,HI,softball,"Mullen, Huffman and Vasquez"
Jessica,Lowe,1978/04/16,2018/11/18,37,1973,ME,softball,Keller Group
Travis,Miller,1990/02/27,2018/07/08,55,1980,WY,softball,Pearson Group
Melanie,Frey,1998/09/06,2018/06/19,43,1975,ME,softball,Rivera-Morrow
Clinton,Decker,1993/01/13,2018/01/21,65,1980,NC,softball,"Hopkins, Barnes and Ward"
Marcus,Nelson,1984/11/13,2018/08/05,65,1982,MD,softball,Parker Group
Stephanie,Scott,1978/07/29,2018/06/03,58,1975,FL,softball,Mcdonald Inc
Eric,Mann,1997/04/11,2018/09/08,91,1979,NM,softball,"Alvarez, Schaefer and Robertson"
Jennifer,Johnson,1977/09/14,2018/12/09,54,1970,CT,softball,Bruce Inc
Olivia,Carter,1982/01/23,2018/07/15,34,1982,NM,softball,
Tammy,Cook DVM,1994/09/22,2018/06/20,36,1992,MD,softball,Hunter Ltd
Michael,Anderson,1985/07/10,2018/02/03,67,1972,CT,softball,Keller Group
Sara,Brooks,1995/03/26,2018/01/20,70,1990,MN,softball,Hunter Ltd
Brian,Bird,1977/09/25,2019/01/06,36,1973,WI,softball,Peterson and Sons
Jacob,Davis,1994/02/01,2018/07/08,94,1976,VA,softball,Rivera Ltd
Alexandria,Martinez,1991/10/27,2018/05/25,54,1982,NM,softball,"Martin, Mcknight and Clark"
Timothy,Smith,1997/02/22,2018/10/29,30,1971,NJ,softball,Taylor-Alvarez
John,Morton,1997/12/22,2018/05/09,40,1995,NM,softball,"Hopkins, Barnes and Ward"
Brianna,Wagner,1989/04/01,2018/08/18,76,1985,MT,softball,"Alvarez, Schaefer and Robertson"
Jeremy,Rangel,1996/04/01,2018/02/08,84,1991,CO,softball,Peterson and Sons
Ashley,Hoffman,1978/01/04,2018/02/13,96,1970,OR,softball,"Mullen, Huffman and Vasquez"
Andrea,Reynolds,1991/11/20,2018/05/17,74,1971,UT,softball,"Jackson, Carlson and Contreras"
Christopher,Conner,1997/09/02,2018/04/27,80,1974,WA,softball,Pearson Group
Michael,Holmes,1997/10/14,2018/06/01,91,1985,CA,softball,Scott and Sons
Jamie,Johnston,1980/05/27,2018/09/29,48,1974,UT,softball,Rivera Ltd
Natalie,Lee,1978/11/10,2018/07/27,69,1977,VA,softball,Hunter Ltd
David,Anderson,1992/08/09,2018/06/15,95,1983,MO,softball,"Brown, Vasquez and Sanchez"
Charles,Greer,1998/11/11,2018/07/18,30,1994,IN,softball,"Mullen, Huffman and Vasquez"
Kelly,Anderson,1990/12/06,2018/03/25,34,1982,NV,softball,Bruce Inc
Kelly,Yang,1991/05/29,2018/06/21,84,1973,RI,softball,"Smith, Torres and Matthews"
Jessica,Macias,1992/09/15,2018/10/24,61,1981,MT,softball,"Hopkins, Barnes and Ward"
Amanda,Rice,1985/01/14,2018/02/03,93,1975,NH,softball,"Mullen, Huffman and Vasquez"
Jamie,Moore,1995/01/25,2018/10/16,41,1975,MT,softball,Taylor-Alvarez
Valerie,Kelly,1989/04/15,2018/03/22,76,1988,ND,softball,"Alvarez, Schaefer and Robertson"
Shaun,Burns,1997/10/10,2018/01/09,60,1980,CO,softball,Bruce Inc
Sarah,Miller,1982/10/23,2018/07/30,90,1982,IL,softball,
Gregory,Beard,1976/06/10,2018/03/14,78,1971,OR,softball,"Kelley, Gilbert and Jackson"
Jeremy,Roy,1988/03/07,2018/12/02,44,1983,VT,softball,"Jackson, Carlson and Contreras"
Sean,Scott,1998/05/14,2018/09/23,57,1987,AZ,softball,Hunter Ltd
James,Powers,1990/07/24,2018/04/15,51,1980,AK,softball,"Hopkins, Barnes and Ward"
Gerald,Zamora,1993/07/01,2018/12/30,42,1985,WV,softball,"Jackson, Carlson and Contreras"
Michael,Dickerson,1996/12/19,2018/09/16,51,1989,MT,softball,"Alvarez, Schaefer and Robertson"
Randy,Hart,1998/03/08,2018/06/08,84,1983,VT,softball,Keller Group
