first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Mikayla,Brennan,1966/11/02,2018/07/04,84,1989,IL,softball,Keller Group
Thomas,Holmes,1962/11/29,2018/05/15,92,1972,WI,softball,"Brown, Vasquez and Sanchez"
Corey,Jones,1964/12/20,2018/08/25,47,2007,NM,softball,"Alvarez, Schaefer and Robertson"
Daniel,Mclaughlin,1966/06/19,2018/05/10,56,1986,RI,softball,"Mullen, Huffman and Vasquez"
Patrick,Patrick,1971/08/09,2018/06/15,37,2013,VT,softball,"Alvarez, Schaefer and Robertson"
Robert,Browning,1961/02/02,2019/01/02,89,1971,WI,softball,Bruce Inc
Don,Johnson,1962/05/02,2018/11/17,56,1980,IN,softball,Keller Group
Traci,Anderson,1987/06/14,2018/10/21,33,1993,TN,softball,Williams-Stephenson
Shelley,Navarro,1969/09/11,2018/11/13,46,2011,OH,softball,Rivera-Morrow
Peggy,Copeland,1982/08/03,2018/01/31,31,1991,CT,softball,Peterson and Sons
Kayla,Lopez,1997/11/23,2018/08/20,62,2015,NM,softball,"Jackson, Carlson and Contreras"
Sheila,Bell,1988/04/27,2018/08/25,59,2008,OH,softball,
Joseph,Harvey,1990/04/12,2018/05/19,96,2013,ME,softball,"Hopkins, Barnes and Ward"
Amber,Garcia,1982/05/25,2018/04/28,63,1985,NY,softball,Peterson and Sons
Christine,Delacruz,1967/01/09,2018/12/30,75,1997,AZ,softball,Peterson and Sons
Amy,Pham MD,1992/08/18,2018/02/19,73,2013,ID,softball,Williams-Stephenson
Charles,Williams,1966/12/27,2018/02/21,87,2011,AL,softball,"Smith, Torres and Matthews"
Mary,Tanner,1976/05/25,2018/02/05,81,1986,NY,softball,"Kelley, Gilbert and Jackson"
Julie,Walker,1990/02/22,2018/12/09,46,1995,MS,softball,Bruce Inc
Marissa,Chandler,1965/10/12,2018/08/25,57,1993,PA,softball,"Smith, Torres and Matthews"
Jacob,Kennedy,1972/08/04,2018/09/03,30,2014,SD,softball,"Brown, Vasquez and Sanchez"
Denise,Webster,1973/03/28,2018/07/17,75,1992,SD,softball,Mcdonald Inc
Justin,Jones,1996/06/27,2018/09/29,49,2006,ME,softball,Williams-Stephenson
Darryl,Green,1969/08/15,2018/02/22,36,2006,NC,softball,Pearson Group
Cynthia,Mason,1959/07/08,2018/03/25,94,2018,SC,softball,"Hopkins, Barnes and Ward"
Charles,Keith,1969/08/11,2018/10/23,50,1981,VT,softball,Parker Group
Dennis,Stevens,1965/08/07,2018/11/17,42,1982,TX,softball,"Brown, Vasquez and Sanchez"
Emily,Harmon,1996/12/01,2018/05/20,89,2001,AZ,softball,"Smith, Torres and Matthews"
Gordon,Hines,1962/07/08,2018/03/02,46,2011,MS,softball,Mcdonald Inc
Matthew,Brandt,1976/03/19,2018/12/27,68,2001,NH,softball,Pearson Group
Eddie,Paul,1994/05/05,2018/05/19,34,2000,WV,softball,Rivera-Morrow
Angela,Saunders,1973/07/23,2018/05/07,61,2014,ND,softball,
Jason,Brown,1969/09/29,2018/10/18,48,1977,FL,softball,Taylor-Alvarez
Amanda,Garcia,1981/11/18,2018/02/09,63,2006,OK,softball,Pearson Group
Amanda,Lowe,1969/09/23,2018/04/14,75,2016,SC,softball,Williams-Stephenson
Austin,Smith,1967/01/10,2018/02/15,79,2009,CT,softball,Pearson Group
Monique,Owens,1982/03/04,2018/11/06,89,1989,TN,softball,Keller Group
